,Pos,Player,Tm,Age,Yrs,G,GS,Cmp,PsAtt,PsYds,PsTD,PsInt,Att,RshYds,RshTD,Rec,RecYds,RecTD,Solo,Sk,Int,All-pro teams,Year
14,P,Chris Gardocki,CLE,30,9.0,16,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0,AP: 2nd Tm,2000
15,EDGE,Jason Taylor,MIA,26,3.0,16,16,0,0,0,0,0,0,0,0,0,0,0,35.0,14.5,1,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2000
16,CB,Sam Madison,MIA,26,3.0,16,16,0,0,0,0,0,0,0,0,0,0,0,29.0,0.0,5,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2000
17,WR,Derrick Mason,TEN,26,3.0,16,10,0,0,0,0,0,1,1,0,63,895,5,,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2000
18,G,Bruce Matthews,TEN,39,17.0,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2000
19,CB,Samari Rolle,TEN,24,2.0,15,15,0,0,0,0,0,0,0,0,0,0,0,35.0,1.5,7,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2000
20,WR,Randy Moss,MIN,23,2.0,16,16,0,0,0,0,0,3,5,0,77,1437,15,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2000
21,T,Jonathan Ogden,BAL,26,4.0,15,15,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2000
22,K,Matt Stover,BAL,32,9.0,16,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2000
23,S,Darren Sharper,GNB,25,3.0,16,16,0,0,0,0,0,0,0,0,0,0,0,72.0,1.0,9,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2000
24,LB,Junior Seau,SDG,31,10.0,16,16,0,0,0,0,0,0,0,0,0,0,0,103.0,3.5,2,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2000
25,DT,Warren Sapp,TAM,28,5.0,16,15,0,0,0,0,0,0,0,0,0,0,0,43.0,16.5,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2000
26,S,John Lynch,TAM,29,7.0,16,16,0,0,0,0,0,0,0,0,0,0,0,56.0,1.0,3,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2000
27,LB,Ray Lewis,BAL,25,4.0,16,16,0,0,0,0,0,0,0,0,0,0,0,108.0,3.0,2,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2000
28,TE,Tony Gonzalez,KAN,24,3.0,16,16,0,0,0,0,0,0,0,0,93,1203,9,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2000
29,DT,La'Roi Glover,NOR,26,4.0,16,16,0,0,0,0,0,0,0,0,0,0,0,53.0,17.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2000
30,QB,Rich Gannon,OAK,35,13.0,16,16,284,473,3430,28,11,89,529,4,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2000
31,RB,Marshall Faulk,STL,27,6.0,14,14,0,0,0,0,0,253,1359,18,81,830,8,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2000
32,EDGE,Hugh Douglas,PHI,29,5.0,16,15,0,0,0,0,0,0,0,0,0,0,0,44.0,15.0,1,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2000
